Name of Chemical,Amount (in grams),Number of Bottles,Storage,Location
2 copper powder,63g,2,Hazard,woodshlef/4th section
copper metal powder,150g,1,hazard,woodshlef/4th section
copper metal ,100g,1,hazard,woodshlef/4th section
copper purified,435g glass,1,hazard,woodshlef/4th section
Charcoal,25g,2,hazard,woodshlef/4th section
Carbon Pieces,medium bottle,1,hazard,woodshlef/4th section
copper granular powder,50g,1,hazard,woodshlef/4th section
Bismuth Metal,20g,1,hazard,woodshlef/4th section
copper granular fine,1lb,1,hazard,woodshlef/4th section
Glycerin,small orange cap,8,hazard,woodshlef/4th section
Glycerin,250ml,1,hazard,woodshlef/4th section
Glycerin,250ml Yellow tag,1,hazard,woodshlef/4th section
Glycerin USP,118ml,2,hazard,woodshlef/4th section
Glycerin,50ml,1,hazard,woodshlef/4th section
Methyl Cellulose Solution,20ml,1,hazard,woodshlef/4th section
Sucrose ,525g,2,hazard,woodshlef/4th section
Sucrose,1L,2,hazard,woodshlef/4th section
Fructose,1L,2,hazard,woodshlef/4th section
Scooby-Doo bubble bath,355ml,5,none,woodshlef/4th section
Suave Shampoo,444ml,1,none,woodshlef/4th section
Cascade,1.27KG,2,hazard,woodshlef/4th section
Tin foil Bag,Plastic bag,1,none,woodshlef/4th section
Zinc metal sheet big metal sheet,Plastic bag,1,none,woodshlef/4th section
Zinc metal bag that has all zinc metal,plastic bag,2,none,woodshlef/4th section
Aluminum bag that has all of it in,plastic bag,1,none,woodshlef/4th section
copper bags,plastic bag,9,none,woodshelf/4th section
brass foil,plastic bag,1,none,woodshelf/4th section
Iron,all in one plastic bag,1,none,woodshelf/4th section
Sliver,one plastic bag,1,none,woodshelf/4th section
Tin,big bag and small bag,2,none,woodshelf/4th section
Solder Lead free,small bag,1,none,woodshelf/4th section
Mangesuim metal,small bag,1,none,woodshelf/4th section
One bag of random metals,small bag,1,none,woodshelf/4th section
Dissovled ocygen powder pillows,small bag,1,none,woodshelf/4th section
